Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,4725452978410066,116070 | 8527289 | 127590 | 31 | GDQ9684,mc,2018-12-25 14:12:49,BRST,SettledInstallment,4825457543220436,BRL,,100.00,1,BRL,,0.00,2.75,,,,,0000024984,20618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116070
TurbiBR,TurbiBRCOM,1525456032404765,116070 | 8527289 | 127590 | 31 | GDQ9684,mc,2018-12-25 14:12:49,BRST,SettledInstallment,1625457543227082,BRL,,100.00,1,BRL,,0.00,2.75,,,,,0000024984,20618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116070
TurbiBR,TurbiBRCOM,1725450814758652,116070 | 8527289 | 127590 | 31 | GDQ9684,mc,2018-12-25 14:12:49,BRST,SettledInstallment,1325457543226301,BRL,,668.80,1,BRL,,0.00,18.39,,,,,0000024984,20618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116070
TurbiBR,TurbiBRCOM,1625455156413940,116070 | 8527289 | 127590 | 31 | GDQ9684,mc,2018-12-25 14:12:49,BRST,SettledInstallment,4625457543227680,BRL,,100.00,1,BRL,,0.00,2.75,,,,,0000024984,20618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116070
TurbiBR,TurbiBRCOM,4625454286419087,116070 | 8527289 | 127590 | 31 | GDQ9684,mc,2018-12-25 14:12:49,BRST,SettledInstallment,1825457543227601,BRL,,100.00,1,BRL,,0.00,2.75,,,,,0000024984,20618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116070
TurbiBR,TurbiBRCOM,4825453848456957,116070 | 8527289 | 127590 | 31 | GDQ9684,mc,2018-12-25 14:12:49,BRST,SettledInstallment,1725457543222199,BRL,,100.00,1,BRL,,0.00,2.75,,,,,0000024984,20618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116070
TurbiBR,TurbiBRCOM,4325454724405493,116070 | 8527289 | 127590 | 31 | GDQ9684,mc,2018-12-25 14:12:49,BRST,SettledInstallment,4825457543226839,BRL,,100.00,1,BRL,,0.00,2.75,,,,,0000024984,20618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116070
TurbiBR,TurbiBRCOM,1325453416414033,116070 | 8527289 | 127590 | 31 | GDQ9684,mc,2018-12-25 14:12:49,BRST,SettledInstallment,1825457543221059,BRL,,100.00,1,BRL,,0.00,2.75,,,,,0000024984,20618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116070
TurbiBR,TurbiBRCOM,4525456444932985,116626 | 8499619 | 128147 | 42 | GCE5762,mc,2018-12-25 12:32:52,BRST,SettledInstallment,4525457483214475,BRL,,192.33,1,BRL,,0.00,5.29,,,,,0000024984,20618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116626
TurbiBR,TurbiBRCOM,1825455594400762,116070 | 8527289 | 127590 | 31 | GDQ9684,mc,2018-12-25 14:12:49,BRST,SettledInstallment,1825457543221042,BRL,,100.00,1,BRL,,0.00,2.75,,,,,0000024984,20618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116070
